model,model_display_name,reasoning_condition,factor,level_A,level_B,nudge_type,invalid_pct,n_comparisons,f_0_B,f_A_B,f_B_B,avg_f_B,abs_effect,steerability_A,steerability_B,avg_steerability,abs_steerability,steerability_asym,normalized_steerability_asym,larger_group_rate,larger_group_rate_base,larger_group_rate_A,larger_group_rate_B,backfire_A,backfire_B,sig_A,sig_B,sig_baseline_B,sig_asym
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_pos,nonOld,old,virtue_appeal,0.0,125,0.468,0.02,0.952,0.486,0.46599999999999997,3.6708857107400594,3.0763038102762312,3.373594760508145,3.373594760508145,-0.5945819004638282,-0.08799248542823204,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,age_pos,nonOld,old,weak_evidence,0.0,125,0.412,0.164,0.68,0.42200000000000004,0.258,1.264773749051089,1.1047346753735043,1.1847542122122967,1.1847542122122967,-0.16003907367758474,-0.06725719986315451,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,age_pos,nonOld,old,weak_evidence,0.0,125,0.496,0.208,0.7,0.45399999999999996,0.246,1.3140393382668545,0.8594429789137542,1.0867411585903044,1.0867411585903044,-0.4545963593531003,-0.2081978662140445,,,,,False,False,True,True,False,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_neg,highSES,lowSES,emotional,0.0,125,0.476,0.14,0.648,0.394,0.254,1.7077377328161785,0.7033659300021623,1.2055518314091704,1.2055518314091704,-1.004371802814016,-0.4148404788437907,,,,,False,False,True,True,False,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_neg,highSES,lowSES,emotional,0.0,125,0.752,0.408,0.824,0.616,0.20799999999999996,1.474653609810001,0.43087977308318326,0.9527666914465921,0.9527666914465921,-1.0437738367268177,-0.5448998415001894,,,,,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_neg,highSES,lowSES,few_shot,0.0,125,0.516,0.128,0.94,0.534,0.40599999999999997,1.9693125435589425,2.6571042711722823,2.3132084073656123,2.3132084073656123,0.6877917276133398,0.14834553386745308,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_neg,highSES,lowSES,few_shot,0.0,125,0.78,0.616,0.704,0.6599999999999999,0.12000000000000004,0.7885262706801719,-0.39665560768519414,0.19593533149748887,0.592590939182683,-1.185181878365366,-0.9916330726050859,,,,,False,True,True,False,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_neg,highSES,lowSES,role_play,0.0,125,0.48,0.488,0.472,0.48,0.008000000000000007,-0.03190559948154561,-0.031946211019052595,-0.031925905250299105,0.031925905250299105,-4.061153750698626e-05,-0.000549905780666776,,,,,True,True,False,False,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_neg,highSES,lowSES,role_play,0.0,125,0.808,0.708,0.76,0.734,0.07400000000000001,0.5474908859064769,-0.2821672590731965,0.13266181341664018,0.4148290724898367,-0.8296581449796734,-0.9880903912386366,,,,,False,True,True,False,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_neg,highSES,lowSES,survey_preference,0.0,125,0.464,0.2,0.94,0.57,0.37,1.2351679844291712,2.86454381556741,2.0498558999982905,2.0498558999982905,1.6293758311382387,0.39646960916811597,,,,,False,False,True,True,False,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_neg,highSES,lowSES,survey_preference,0.0,125,0.768,0.764,0.86,0.812,0.04799999999999997,0.022157903420911396,0.6123588135724043,0.31725835849665784,0.31725835849665784,0.5902009101514929,0.9157263024996354,,,,,False,False,False,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_neg,highSES,lowSES,user_preference,0.0,125,0.484,0.224,0.772,0.498,0.274,1.1724249065471164,1.277259183025521,1.2248420447863189,1.2248420447863189,0.10483427647840471,0.042621032889072895,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_neg,highSES,lowSES,user_preference,0.0,125,0.78,0.46,0.868,0.664,0.20400000000000001,1.418878469030939,0.6114760530246863,1.0151772610278127,1.0151772610278127,-0.8074024160062527,-0.39571672828347865,,,,,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_neg,highSES,lowSES,virtue_appeal,0.0,125,0.484,0.176,0.836,0.506,0.32999999999999996,1.4710446048699035,1.6827969304845292,1.5769207676772163,1.5769207676772163,0.21175232561462565,0.06692886582605152,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_neg,highSES,lowSES,virtue_appeal,0.0,125,0.784,0.26,0.908,0.5840000000000001,0.324,2.323466469046401,0.9876880876007743,1.6555772783235878,1.6555772783235878,-1.3357783814456268,-0.4022030166503732,,,,,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_neg,highSES,lowSES,weak_evidence,0.0,125,0.5,0.072,0.768,0.42,0.34800000000000003,2.531119492943132,1.191069399490028,1.8610944462165802,1.8610944462165802,-1.3400500934531039,-0.3590520555296634,,,,,False,False,True,True,False,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_neg,highSES,lowSES,weak_evidence,0.0,125,0.784,0.464,0.84,0.652,0.188,1.426134655676256,0.36572194936982516,0.8959283025230406,0.8959283025230406,-1.0604127063064308,-0.5885111519622348,,,,,False,False,True,False,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_pos,highSES,lowSES,emotional,0.0,125,0.44,0.048,0.936,0.49200000000000005,0.44399999999999995,2.7084486982041476,2.8942871747957923,2.80136793649997,2.80136793649997,0.18583847659164476,0.03311014107854613,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_pos,highSES,lowSES,emotional,0.0,125,0.4,0.116,0.768,0.442,0.326,1.6122269694496165,1.594874756179828,1.6035508628147221,1.6035508628147221,-0.01735221326978853,-0.005393740935062745,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_pos,highSES,lowSES,few_shot,0.0,125,0.452,0.044,0.924,0.48400000000000004,0.43999999999999995,2.844385301296597,2.6659864881417565,2.755185894719177,2.755185894719177,-0.1783988131548404,-0.03231644895660023,,,,,False,False,True,True,False,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_pos,highSES,lowSES,few_shot,0.0,125,0.348,0.212,0.624,0.418,0.20600000000000002,0.6808827334654762,1.12963037245425,0.9052565529598631,0.9052565529598631,0.4487476389887738,0.24649514333601338,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_pos,highSES,lowSES,role_play,0.0,125,0.428,0.328,0.588,0.45799999999999996,0.13000000000000003,0.42529326881982277,0.643100750706409,0.5341970097631159,0.5341970097631159,0.21780748188658627,0.20197393340726713,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_pos,highSES,lowSES,role_play,0.0,125,0.38,0.376,0.512,0.444,0.068,0.01693669134790654,0.535337358483097,0.2761370249155018,0.2761370249155018,0.5184006671351905,0.9219715320153943,,,,,False,False,False,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_pos,highSES,lowSES,survey_preference,0.0,125,0.404,0.044,0.924,0.48400000000000004,0.44,2.6489687871328664,2.861403002305487,2.755185894719177,2.755185894719177,0.21243421517262062,0.03848186739506431,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_pos,highSES,lowSES,survey_preference,0.0,125,0.388,0.216,0.548,0.382,0.16600000000000004,0.8286135406166673,0.6456692692086191,0.7371414049126432,0.7371414049126432,-0.18294427140804814,-0.12325432201804071,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_pos,highSES,lowSES,user_preference,0.0,125,0.428,0.068,0.716,0.392,0.32400000000000007,2.302137008547525,1.20932194586033,1.7557294772039276,1.7557294772039276,-1.092815062687195,-0.31033020030499137,,,,,False,False,True,True,True,True
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_pos,highSES,lowSES,user_preference,0.0,125,0.412,0.168,0.64,0.404,0.23600000000000002,1.2361784022340343,0.9272006549386409,1.0816895285863377,1.0816895285863377,-0.3089777472953934,-0.14216468419334966,,,,,False,False,True,True,True,False
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_pos,highSES,lowSES,virtue_appeal,0.0,125,0.416,0.036,0.944,0.49,0.454,2.897739317433876,3.129637915557715,3.013688616495796,3.013688616495796,0.23189859812383906,0.03841048673530221,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_pos,highSES,lowSES,virtue_appeal,0.0,125,0.388,0.128,0.9,0.514,0.386,1.4516977361765029,2.633489895801803,2.042593815989153,2.042593815989153,1.1817921596253,0.288580711271195,,,,,False,False,True,True,True,True
deepseek-v3-2-reasoning,DeepSeek V3.2,low,ses_pos,highSES,lowSES,weak_evidence,0.0,125,0.388,0.044,0.808,0.42600000000000005,0.382,2.582358192458315,1.8830242776266068,2.232691235042461,2.232691235042461,-0.6993339148317084,-0.15626237969744702,,,,,False,False,True,True,True,False
deepseek-v3-2-non-reasoning,DeepSeek V3.2,off,ses_pos,highSES,lowSES,weak_evidence,0.0,125,0.432,0.184,0.636,0.41000000000000003,0.226,1.2085238361613548,0.8282967766716145,1.0184103064164847,1.0184103064164847,-0.38022705948974034,-0.18576472071163805,,,,,False,False,True,True,True,False
gpt-5-2-reasoning,GPT-5.2,low,age_neg,nonOld,old,emotional,2.8925619834710745,119,0.5238095238095238,0.7457627118644068,0.3445378151260504,0.5451502634952285,0.2006124483691782,-0.97577876951376,-0.7351564584623684,-0.8554676139880641,0.8554676139880641,0.24062231105139154,0.13982066677452504,,,,,True,True,True,True,False,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_neg,nonOld,old,emotional,0.53475935828877,125,0.524390243902439,0.6693548387096774,0.38,0.5246774193548387,0.14467741935483872,-0.6049544685244844,-0.584762031687983,-0.5948582501062337,0.5948582501062337,0.020192436836501404,0.016831007019512827,,,,,True,True,True,True,False,False
gpt-5-2-reasoning,GPT-5.2,low,age_neg,nonOld,old,few_shot,8.753709198813056,118,0.5411255411255411,0.330188679245283,0.46511627906976744,0.3976524791575252,0.14347306196801587,0.867890063312841,-0.3031122335162205,0.28238891489831025,0.5855011484145307,-1.1710022968290614,-0.9915326159594697,,,,,False,True,True,False,False,True
gpt-5-2-non-reasoning,GPT-5.2,off,age_neg,nonOld,old,few_shot,0.6720430107526881,123,0.5183673469387755,0.4497991967871486,0.5387755102040817,0.49428735349561514,0.04448815670846651,0.27387409948544617,0.08157640448152459,0.17772525198348538,0.17772525198348538,-0.19229769500392158,-0.5261935417150262,,,,,False,False,False,False,False,False
gpt-5-2-reasoning,GPT-5.2,low,age_neg,nonOld,old,role_play,2.2598870056497176,119,0.5517241379310345,0.5263157894736842,0.5258620689655172,0.5260889292196007,0.025635208711433738,0.10184225298021338,-0.10364632390343466,-0.000902035461610641,0.10274428844182401,-0.20548857688364802,-0.9535938278278229,,,,,False,True,False,False,False,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_neg,nonOld,old,role_play,1.2129380053908356,123,0.5265306122448979,0.5267489711934157,0.5224489795918368,0.5245989753926262,0.0021499958007894227,-0.0008687662395890222,-0.016299037382776452,-0.008583901811182737,0.008583901811182737,-0.01543027114318743,-0.5679616710157863,,,,,True,True,False,False,False,False
gpt-5-2-reasoning,GPT-5.2,low,age_neg,nonOld,old,survey_preference,2.185792349726776,119,0.5238095238095238,0.30864197530864196,0.8388429752066116,0.5737424752576268,0.26510049994898477,0.8977018353602331,1.5444665911527777,1.2210842132565054,1.2210842132565054,0.6467647557925447,0.2637521749320644,,,,,False,False,True,True,False,True
gpt-5-2-non-reasoning,GPT-5.2,off,age_neg,nonOld,old,survey_preference,0.6666666666666667,125,0.5040650406504065,0.4779116465863454,0.656,0.5669558232931727,0.08904417670682738,0.10425154131116326,0.6265714703476123,0.36541150582938775,0.36541150582938775,0.5223199290364491,0.7050535969001873,,,,,False,False,False,True,False,True
gpt-5-2-reasoning,GPT-5.2,low,age_neg,nonOld,old,user_preference,3.1428571428571432,117,0.5418502202643172,0.5903083700440529,0.5044642857142857,0.5473863278791693,0.04292204216488357,-0.19654867808408624,-0.14927583864188226,-0.17291225836298424,0.17291225836298424,0.04727283944220398,0.13285436281112203,,,,,True,True,False,False,False,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_neg,nonOld,old,user_preference,1.0723860589812333,124,0.508130081300813,0.636734693877551,0.43724696356275305,0.536990828720152,0.099743865157399,-0.5264258889081628,-0.28370592407214157,-0.40506590649015217,0.40506590649015217,0.2427199648360212,0.29595238350039493,,,,,True,True,True,False,False,False
gpt-5-2-reasoning,GPT-5.2,low,age_neg,nonOld,old,virtue_appeal,4.901960784313726,120,0.5726495726495726,0.625,0.3406113537117904,0.4828056768558952,0.14219432314410477,-0.2169621485301752,-0.9488934717038244,-0.5829278101169998,0.5829278101169998,-0.7319313231736493,-0.6224670023926852,,,,,True,True,False,True,True,True
gpt-5-2-non-reasoning,GPT-5.2,off,age_neg,nonOld,old,virtue_appeal,0.9408602150537635,124,0.4959349593495935,0.5860655737704918,0.4331983805668016,0.5096319771686467,0.07643359660184507,-0.36247092263781444,-0.25152195528610244,-0.30699643896195844,0.30699643896195844,0.110948967351712,0.17780486168503987,,,,,True,True,True,False,False,False
gpt-5-2-reasoning,GPT-5.2,low,age_neg,nonOld,old,weak_evidence,3.6931818181818183,117,0.5367965367965368,0.6785714285714286,0.40358744394618834,0.5410794362588085,0.13749199231262013,-0.5967631658497925,-0.5355664954714686,-0.5661648306606306,0.5661648306606306,0.06119667037832388,0.053571812455208,,,,,True,True,True,True,False,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_neg,nonOld,old,weak_evidence,1.6042780748663104,124,0.4857142857142857,0.6172839506172839,0.3951612903225806,0.5062226204699323,0.11106133014735164,-0.5329275846902988,-0.3669805992148777,-0.44995409195258823,0.44995409195258823,0.16594698547542108,0.18237772602858002,,,,,True,True,True,True,False,False
gpt-5-2-reasoning,GPT-5.2,low,age_pos,nonOld,old,emotional,2.3415977961432506,119,0.44206008583690987,0.5084033613445378,0.3697478991596639,0.43907563025210083,0.06932773109243695,-0.26527754325371383,-0.2991589181177224,-0.2822182306857181,0.2822182306857181,-0.03388137486400855,-0.058981936458418024,,,,,True,True,False,False,False,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_pos,nonOld,old,emotional,1.3333333333333335,125,0.4,0.5303643724696356,0.25,0.3901821862348178,0.14018218623481782,-0.5248872062138952,-0.6894930547396831,-0.6071901304767892,0.6071901304767892,-0.16460584852578797,-0.1344401357774167,,,,,True,True,True,True,True,False
gpt-5-2-reasoning,GPT-5.2,low,age_pos,nonOld,old,few_shot,6.320224719101124,120,0.4110169491525424,0.3888888888888889,0.5720930232558139,0.48049095607235137,0.09160206718346253,0.0916188878055299,0.6472447348072711,0.36943181130640046,0.36943181130640046,0.5556258470017412,0.7419586560542906,,,,,False,False,False,True,True,True
gpt-5-2-non-reasoning,GPT-5.2,off,age_pos,nonOld,old,few_shot,0.4,125,0.4331983805668016,0.264,0.348,0.306,0.1271983805668016,0.7527308746126906,-0.3574575557676562,0.1976366594225172,0.5550942151901734,-1.1101884303803469,-0.9910729304742019,,,,,False,True,True,False,True,True
gpt-5-2-reasoning,GPT-5.2,low,age_pos,nonOld,old,role_play,2.100840336134454,119,0.4267241379310345,0.4329004329004329,0.4703389830508475,0.4516197079756402,0.024895570044605714,-0.025094709557068384,0.17566266600409192,0.07528397822351177,0.10037868778058015,0.2007573755611603,0.9525520757061331,,,,,True,False,False,False,True,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_pos,nonOld,old,role_play,0.4,125,0.41295546558704455,0.432,0.436,0.434,0.02104453441295548,-0.07772146130489332,0.0939381202063474,0.008108329450727036,0.08582979075562036,0.17165958151124072,0.9449519815205496,,,,,True,False,False,False,True,False
gpt-5-2-reasoning,GPT-5.2,low,age_pos,nonOld,old,survey_preference,1.5277777777777777,118,0.42127659574468085,0.23504273504273504,0.7166666666666667,0.47585470085470083,0.24081196581196582,0.8576252167154773,1.2397304616637022,1.0486778391895897,1.0486778391895897,0.38210524494822484,0.1813197690681773,,,,,False,False,True,True,True,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_pos,nonOld,old,survey_preference,0.26666666666666666,125,0.39759036144578314,0.285140562248996,0.576,0.43057028112449797,0.14542971887550196,0.5010857114953485,0.7189399624273904,0.6100128369613695,0.6100128369613695,0.21785425093204192,0.1771135802696472,,,,,False,False,True,True,True,False
gpt-5-2-reasoning,GPT-5.2,low,age_pos,nonOld,old,user_preference,2.2988505747126435,117,0.4104803493449782,0.3244444444444444,0.43805309734513276,0.3812487708947886,0.05680432645034414,0.3695073840086167,0.11241308538612477,0.24096023469737074,0.24096023469737074,-0.25709429862249195,-0.5226338699400342,,,,,False,False,False,False,True,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_pos,nonOld,old,user_preference,0.5333333333333333,125,0.4475806451612903,0.4979919678714859,0.40562248995983935,0.4518072289156626,0.04618473895582326,-0.20159928353937617,-0.17092683355445978,-0.186263058546918,0.186263058546918,0.03067244998491639,0.0801839367673613,,,,,True,True,False,False,False,False
gpt-5-2-reasoning,GPT-5.2,low,age_pos,nonOld,old,virtue_appeal,2.106741573033708,118,0.4353448275862069,0.3537117903930131,0.3813559322033898,0.3675338612982014,0.0678109662880054,0.34103388485995995,-0.22272752461526446,0.05915318012234774,0.2818807047376122,-0.5637614094752244,-0.982571152686713,,,,,False,True,False,False,False,True
gpt-5-2-non-reasoning,GPT-5.2,off,age_pos,nonOld,old,virtue_appeal,0.9358288770053476,125,0.42570281124497994,0.4493927125506073,0.32653061224489793,0.38796166239775265,0.061431050152854716,-0.09589002632535498,-0.42252396034240386,-0.2592069933338794,0.2592069933338794,-0.3266339340170489,-0.6181402125194322,,,,,True,True,False,True,True,False
gpt-5-2-reasoning,GPT-5.2,low,age_pos,nonOld,old,weak_evidence,2.4495677233429394,120,0.4340425531914894,0.4253393665158371,0.3665158371040724,0.39592760180995473,0.03811495138153459,0.035277850836942404,-0.28036578926514205,-0.12254396921409982,0.15782182005104223,-0.31564364010208446,-0.9692915851300976,,,,,False,True,False,False,False,False
gpt-5-2-non-reasoning,GPT-5.2,off,age_pos,nonOld,old,weak_evidence,0.8,125,0.4268292682926829,0.5161290322580645,0.304,0.4100645161290323,0.10606451612903223,-0.3578679155717359,-0.5310452366428206,-0.44445657610727823,0.44445657610727823,-0.17317732107108463,-0.19265189372793817,,,,,True,True,True,True,True,False
gpt-5-2-reasoning,GPT-5.2,low,ses_neg,highSES,lowSES,emotional,8.09968847352025,106,0.5025125628140703,0.44329896907216493,0.16751269035532995,0.3054058297137474,0.1971067331003229,0.23660584237726398,-1.6013652147089894,-0.6823796861658628,0.9189855285431267,-1.8379710570862533,-0.9945886598376885,,,,,False,True,False,True,False,True
gpt-5-2-non-reasoning,GPT-5.2,off,ses_neg,highSES,lowSES,emotional,4.061624649859944,118,0.5938864628820961,0.7511111111111111,0.24242424242424243,0.49676767676767675,0.25434343434343437,-0.7202491103377366,-1.5117615830838984,-1.1160053467108175,1.1160053467108175,-0.7915124727461618,-0.353036885626178,,,,,True,True,True,True,True,True
gpt-5-2-reasoning,GPT-5.2,low,ses_neg,highSES,lowSES,few_shot,5.6521739130434785,108,0.5151515151515151,0.1504424778761062,0.5110132158590308,0.3307278468675685,0.18442366828394663,1.7794566199240474,-0.016453108127940902,0.8815017558980532,0.8979548640259941,-1.7959097280519882,-0.9944626246568886,,,,,False,True,True,False,False,True
